File/Folder Name;Path;Type;URL;Size (bytes);Created Time
RPS_Manajemen Proyek dan K3.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Manajemen Proyek dan K3.docx;File;https://docs.google.com/document/d/1stzuWNoom55asL36bIXWVZYvaIB_k9yj/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647132;2026-06-23T04:59:12.785Z
RPS_Kewirausahaan berbasis Teknologi.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Kewirausahaan berbasis Teknologi.docx;File;https://docs.google.com/document/d/1bSAv__BkXw-QbTv4eMsY22l31q0r2Eao/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647168;2026-06-23T04:58:42.477Z
RPS_Kecerdasan Buatan.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Kecerdasan Buatan.docx;File;https://docs.google.com/document/d/14kpIVXT2COFULAif8nE6OIKh4G5KIvfY/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647182;2026-06-23T04:58:39.035Z
RPS_Etika Profesi.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Etika Profesi.docx;File;https://docs.google.com/document/d/1xEDD2MqQair8HXMwAOtk5Vj_NmKAKMk9/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647400;2026-06-23T04:58:08.687Z
RPS_Embeded System.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Embeded System.docx;File;https://docs.google.com/document/d/1lE-PPtTcG9rab4C2_Z4XHufz-PgORX-M/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646814;2026-06-23T04:58:01.727Z
RPS_Bahasa Inggris.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Bahasa Inggris.docx;File;https://docs.google.com/document/d/1pnokdBqhLpyh-x178i2ZVmjeG25vEwyo/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647019;2026-06-23T04:57:36.940Z
RPS_Sensor dan Tranduser.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Sensor dan Tranduser.docx;File;https://docs.google.com/document/d/1vCLkBlVwUGbXpsZLA-MU83eACe1pOh5Q/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647141;2026-06-23T05:00:26.420Z
RPS_Pengolahan Isyarat Digital.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Pengolahan Isyarat Digital.docx;File;https://docs.google.com/document/d/17kzXCWED7FxCAgaq9krG0pNJEELiKW1Q/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647392;2026-06-23T04:59:57.790Z
RPS_Logika Fuzzy.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Logika Fuzzy.docx;File;https://docs.google.com/document/d/16sDkjace5vfotkPmikzG7Dcde956v9MJ/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647304;2026-06-23T04:59:02.821Z
RPS_Kuliah Kerja Lapangan (KKL).docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Kuliah Kerja Lapangan (KKL).docx;File;https://docs.google.com/document/d/1sYljSgV6ifaPlqdoUNpGgnSHpq9SVTNU/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646745;2026-06-23T04:58:55.993Z
RPS_Komunikasi Nirkabel.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Komunikasi Nirkabel.docx;File;https://docs.google.com/document/d/1GnWCLqaYTUgV-yy-JugAWdEsmnxfhYaz/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647177;2026-06-23T04:58:49.332Z
RPS_Ke-PGRI-an.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Ke-PGRI-an.docx;File;https://docs.google.com/document/d/17_8kGMNIF8brjS0DnUNIeXFZ8b7aBNh8/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647398;2026-06-23T04:58:35.376Z
RPS_Dasar Sistem Kendali.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Dasar Sistem Kendali.docx;File;https://docs.google.com/document/d/1QeRqDffs58PinNijBaC0G7w2Gw9qnbVv/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646968;2026-06-23T04:57:41.111Z
RPS_Analisa Tenaga Listrik.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Analisa Tenaga Listrik.docx;File;https://docs.google.com/document/d/1XWyTE0-m3dOZlHNwwR5343EyiS-lMUI6/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646995;2026-06-23T04:57:21.250Z
RPS_Variabel Kompleks.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Variabel Kompleks.docx;File;https://docs.google.com/document/d/1A-ew0l1xNYz3C_XhuBN5k8CpQX_VbLWT/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646669;2026-06-23T05:00:45.966Z
