Jenis Kegiatan ,Judul Penelitian,Ketua Peneliti,Personil,Tahun,Pendanaan,Roadmap,Sumber,Jenis Sumber,TS,Sesuai Inti,Link Bukti,Link Luaran,Cek Duplikasi,,,,,,Sumber ,"a) Perguruan tinggi
 b) Mandiri",Lembaga dalam negeri (diluar PT),Lembaga Luar Negeri,,Jenis ,Penelitian,PkM
Penelitian,PEMANFAATAN AERATOR BERPENGGERAK TURBIN SAVONIUS DARRIEUS UNTUK PENINGKATAN HASIL PRODUKSI PADA TAMBAK PEMBESARAN IKAN BANDENG (Chanos Chanos Forskal),"Dr.Pi Rizky Muliani Dwi Ujianti, S.Pi., M.Si","Althesa Androva, S.T., M.Eng; Bambang Hadi Kunaryo, S.T., M.T.; Nur Aksin, S.Ag., M.SI; KHOIRUS SA`ADAH; LAILATUS SA'DIYAH SEPTIYANI; MUTIARA SABATINA PUTRIYANTO",2023,"Rp12.000.000,00",,LPPM,"a) Perguruan tinggi
 b) Mandiri",TS-2,,https://drive.google.com/file/d/1N4nscFKcB05q7luF7jO7ZGGj7cQafb7R/view?usp=sharing,,Unique,,,,,,,,,,,,,
Penelitian,"Rekayasa Formulasi Kerupuk Ikan Berbasis Kombinasi Daging Lele (Clarias sp.) dan Tenggiri (Scomberomorus sp.) serta Implikasinya terhadap Sifat Fisik, Kimia, dan Sensorik Produk","Dr.Pi Rizky Muliani Dwi Ujianti, S.Pi., M.Si","Althesa Androva, S.T., M.Eng; Bambang Hadi Kunaryo, S.T., M.T.; MUTIARA FITRI RAHMANINGTYAS; ARINA AINI NURUL KHASANAH; Abdillah Fathan Generus Annajah",2026,"Rp12.500.000,00",,LPPM,"a) Perguruan tinggi
 b) Mandiri",TS,,https://drive.google.com/file/d/1-LGrvnQs3kxkLuSj8zbeirE8o3hgbtIx/view?usp=sharing,,Unique,,,,,,,,,,,,,
Penelitian,"Preparasi, Karakterisasi, dan Optimasi Ketebalan Lapisan Tunggal Bahan Non Magnetik Sekam Padi sebagai Radar Absorber Material","Dr. Affandi Faisal Kurniawan, S.Si.,M.Sc.","Prof. Dr. Nur Khoiri, S.Pd., M.T., M.Pd.; Dr. Sigit Ristanto, ST., M.Sc; Joko Saefan, M. Sc.; Naifah Istya Putri Aprilia; Nadroti Hidayatun Ni’mah; Murtiningsih",2026,"Rp12.500.000,00",,LPPM,"a) Perguruan tinggi
 b) Mandiri",TS,,https://drive.google.com/file/d/1HVz_kKpzabyzREvPrCiH6zFKgYAAp_Zl/view?usp=sharing,,Unique,,,,,,,,,,,,,
Penelitian,Pengembangan Media Pembelajaran Fisika Berbasis Kerangka Kerja Deep Learning untuk Meningkatkan Minat Belajar dan Kemampuan Pemecahan Masalah Siswa,"Dr. Sigit Ristanto, ST., M.Sc","Prof. Dr. Nur Khoiri, S.Pd., M.T., M.Pd.; Dr. Affandi Faisal Kurniawan, S.Si.,M.Sc.; Emila Luthfia Sofa; Julia; Dwi Amiliya Putri",2025,"Rp15.000.000,00",,LPPM,"a) Perguruan tinggi
 b) Mandiri",TS-1,,https://drive.google.com/file/d/1SLFsfi2_MJX2pz0eAAcUfQ3Gw1NHFRpZ/view?usp=sharing,,Unique,,,,,,,,,,,,,
Penelitian,Pengaruh Pemberian Cat pada Atap Bangunan Terhadap Laju Transfer Panas,"Dr. Sigit Ristanto, ST., M.Sc","Dr SLAMET SUPRIYADI, M.Env.St.; Dr. Baju Arie Wibawa, S.T., M.T; Winda Margaretha; Yunita Dwi Saputri Ome; Pramudhita Alfina Damayanti",2024,"Rp23.000.000,00",,LPPM,"a) Perguruan tinggi
 b) Mandiri",TS-1,,https://drive.google.com/file/d/1zXbe7KqxRdxrDNFap9GoufZOTJoB3wo6/view?usp=sharing,,Unique,,,,,,,,,,,,,
Penelitian,Rancang Bangun Prototype Alat Ukur Posisi Benda Berbasis Citra Stereoskopik,"Dr. Sigit Ristanto, ST., M.Sc","Prof. Dr. Nur Khoiri, S.Pd., M.T., M.Pd.; Dr. Affandi Faisal Kurniawan, S.Si.,M.Sc.; Nur Roikhana Zulfa; Pramudhita Alfina Damayanti; Ratih Meiwulan",2024,"Rp15.000.000,00",K3 (Embedded System & IoT — instrumentasi sensor presisi),lPPM,"a) Perguruan tinggi
 b) Mandiri",TS-2,V,https://drive.google.com/file/d/1qWo1uvXBtv49igCt9cfGEUkTHyUxwob4/view?usp=sharing,,Unique,,,,,,,,,,,,,
Penelitian,PREDICTING CRYSTAL SYSTEMS OF LI-ION BATTERY CATHODES USING MACHINE LEARNING,"Dr.Pi Rizky Muliani Dwi Ujianti, S.Pi., M.Si","Dr. Sigit Ristanto, ST., M.Sc; Bambang Agus Herlambang, S.Kom., M.Kom; Rina Widyawati; Sri Wahyuni; Tri Ambarwati Mardikaningrum; Prof. Kazuyoshi Ogasawara",2024,"Rp50.000.000,00",K2 (Smart Grid & Manajemen Energi; PLTS & Konverter Daya),"PROGRAM PENELITIAN INTERNAL 
 SKEMA KERJASAMA LUAR NEGERI","a) Perguruan tinggi
 b) Mandiri",TS-1,V,https://drive.google.com/file/d/1rUGDuncDGOmI3oBTmnzvoupz3j3p0Fb2/view?usp=sharing,,Unique,,,,,,,,,,,,,
Penelitian,Pengembangan E-LKPD Berbasis Masalah Pokok Bahasan Pengukuran Besaran Fisis Untuk Meningkatkan Pemahanan Konsep dan Kemampuan Pengambilan Keputusan,"Prof. Dr. Nur Khoiri, S.Pd., M.T., M.Pd.","Dr. Sigit Ristanto, ST., M.Sc; Dr. Affandi Faisal Kurniawan, S.Si.,M.Sc.; Alifa Citra Utami; Hafizh Aji Prakosa; Dhara Fauziyah Aslam",2023,"Rp10.000.000,00",,Reguler,"a) Perguruan tinggi
 b) Mandiri",TS-2,,https://drive.google.com/file/d/1gtmi_pU8Ztn8c4f6ezXRWni4Jz5MTmLF/view?usp=sharing,Pengembangan_E-LKPD_Berbasis_Problem_Based_Learnin.pdf,Unique,,,,,,,,,,,,,
PkM,PKM PROGRAM PERBAIKAN DAN EDUKASI PENGGUNAAN PERALATAN AUDIO BAGI PANTI ASUHAN FACHRUDIN SEMARANG,Bambang Hadi Kunaryo,Ganjar Winasis; Afeef Kurnia Rahmawan;,2025,"Rp8.000.000,00",,REGULER ( PKM-REGULER ),"a) Perguruan tinggi
 b) Mandiri",TS,V,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQBVMhSy-WncSbZX_cIPVMnGAfZxWMhB9Jdi84ucJU2OhlU?e=NPj8ke,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQCmHm4dAF3qQ5cky7UaQc9yAQXr6IIJWPBTCqlcImN4OyE?e=BoJrsT,Unique,,,,,,,,,,,,,
PkM,PKM KELOMPOK PEMBUDIDAYA LELE: TEKNOLOGI ZERO WASTE AIR LIMBAH KOLAM BERBASIS IOT UNTUK PENINGKATAN PRODUKSI DAN PENCEGAHAN STUNTING PADA ANAK,Rizky Muliani Dwi Ujianti,Setyoningsih Wibowo; Bambang Hadi Kunaryo;,2023,"Rp44.500.000,00",,KOMPETITIF NASIONAL ( PKM ),Lembaga dalam negeri (diluar PT),TS-2,V,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQAZIqxKjkEJQ4IgW1CEBVnuAaGdRsfzZEAmKmjPOto7RuE?e=Z1a94b,https://upgrisacid0.sharepoint.com/:b:/s/AkreditasiPSTE2026/IQC1u4kC0uuDQ7HcjYBpbMieAVvEqNoRLr1o7iO9RIjoRks?e=PrGqH0,Unique,,,,,,,,,,,,,
