Judul ,Auhor,Nama Penerbit,Tahun Terbit,TS,Jenis Publikasi,Jenis Luaran,Relevansi  dengan visi keilmuan,PUBLISHER,jumlah sitasi,terindex scopus,Rank SINTA,Keunggulan Dosen,Peran Dosen ,Publikasi Mahasiswa,Cek Duplikasi,Link Bukti,,,,,,,,,,
ANALISIS DAN PEMELIHARAAN ALAT UKUR LISTRIK,"FM Inzaghi, A Kusmantoro","Proceeding Science and Engineering National Seminar 9 (1), 220-225",23 Februari 2025,TS-1,Prosiding di seminar nasional/wilayah,Penelitian,V,Science and Engineering National Seminar (SENS),,Tidak,Prosiding Nasional,,,,Unique,https://conference.upgris.ac.id/index.php/sens/article/download/6918/4885,,,,,,,,,,"Proceeding Science and Engineering National Seminar 9 (1), 220-225"
ANALISIS KINERJA SENSOR ULTRASONIK HC-SR04 DENGAN AKURASI TINGGI DAN ERROR RENDAH,"AR Adha, MA Musthofa, G Putra, I Harjanto","Proceeding Science and Engineering National Seminar 9 (1), 115-122",6/2/2025,TS-1,Prosiding di seminar nasional/wilayah,Penelitian,V,Science and Engineering National Seminar (SENS),,Tidak,Prosiding Nasional,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/6821/4820,,,,,,,,,,"Proceeding Science and Engineering National Seminar 9 (1), 115-122"
Analisis Respon Pembacaan Sensor Beban (Load Cell) dengan Menggunakan Autonics TK4S,"Moh Rizqi Mubarok, Muhammad Amiruddin",Jurnal Ilmiah Wahana Pendidikan,10 Desember 2024,TS-1,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,V,Jurnal Ilmiah Wahana Pendidikan,,Tidak,SINTA 6,,,,Unique,https://jurnal.peneliti.net/index.php/JIWP/article/view/9115/7333,,,,,,,,,,"Jambura Journal of Electrical and Electronics Engineering 7 (1), 82-88"
DESAIN PEMBANGKIT LISTRIK TENAGA BAYU (PLTB) DENGAN TURBIN ANGIN VERTIKAL,"Teeris Ardiyanto Adhi Kusmantoro, Margono",JETI,1/10/2024,TS-1,Jurnal nasional tidak terakreditasi,,,,,,,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/1004/718,,,,,,,,,,JURNAL ILMIAH TEKNOLOGI INFORMASI DAN KOMUNIKASI (JTIK)
DESAIN SISTEM KENDALI SUHU RUANG PEMANAS DENGAN METODE ULTIMATE CYCLE,"M Amiruddin, I Harjanto, BH Kunaryo","JURNAL TEKNOLOGI INFORMASI DAN KOMUNIKASI 15 (2), 352-359",01-Sep-24,TS-1,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,V,Jurnal Ilmiah Teknologi Informasi dan Komunikasi (JTIK),,Tidak,SINTA 5,,,,Unique,,,,,,,,,,,"JURNAL TEKNOLOGI INFORMASI DAN KOMUNIKASI 15 (2), 352-359"
Digital Physics Module for 21st Century Education on New and Renewable Energy Based on the Dilemma-STEAM Learning Model,"H Nasbey, RA Sirait, AF Kurniawan, A Samsudin, A Fadlan",Journal of Physics: Conference Series,1 Oktober 2024,TS-1,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,V,Lontar Physics Today,,Tidak,SINTA 4,,,,Unique,,,,,,,,,,,Community Development Journal: Jurnal Pengabdian Masyarakat
Enhancing Students’ Climate Change Literacy through Climate-Integrated Physics Learning via Citizen Science,"DA Kuntari, S Ristanto, J Siswanto",Jurnal Pendidikan Fisika dan Teknologi,30 Juli 2025,TS-1,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,,Jurnal Pendidikan Fisika dan Teknologi,,Tidak,SINTA 3,,,,Unique,,,,,,,,,,,"2024 11th International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)"
Experimental investigation of a standing-wave thermoacoustic electricity generator with different working gases,"I Setiawan, I Farikhah, P Murti, AB Setio-Utomo","Sādhanā 50 (2), 1-15",Juni 2025,TS-1,Jurnal internasional,Penelitian,V,Sādhanā,,Ya,Prosiding Internasional terindeks Scopus / IEEE Xplore / Scopus,Ya,,,Unique,,,,,,,,,,,"Proceeding Science and Engineering National Seminar 8 (1), 235-243"
"IMPLEMENTASI SISTEM PENGUKURAN BERAT BENDA BERBASIS LOADCELL DENGAN TATAP MUKA CN6000, TK4S, DAN HMI","Min Ibni Jahri Muhammad Amiruddin, Ganjar Winasis",SENS,1/12/2024,TS-1,Prosiding di seminar nasional/wilayah,,,,,,,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/6852/4830,,,,,,,,,,
Improvement of AC Bus Voltage Stability with Current Control Inverter,"BR Nugroho, R Maulidin, A Kusmantoro","Kinetik: Game Technology, Information System, Computer Network, Computing, Electronics, and Control",31/5/2025,TS-1,Jurnal nasional terakreditasi,Penelitian,V,"Kinetik: Game Technology, Information System, etc.",,Tidak,SINTA 2,,,Ya,Unique,https://kinetik.umm.ac.id/index.php/kinetik/article/view/2107,,,,,,,,,,"Jurnal Penelitian Pendidikan IPA 9 (2), 838-842"
Increased DC Bus Voltage Stability with Multiple Microgrid Cluster Strategies.,A Kusmantoro,KnE Social Sciences,18-Apr-25,TS-1,Prosiding tidak terindeks di seminar internasional / pertemuan himpunan profesi nasional*,Penelitian,V,KnE Social Sciences,,Tidak,Jurnal Internasional (Non-Scopus),,,,Unique,,,,,,,,,,,Jurnal Pengabdian kepada Masyarakat Nusantara
"Increasing Awareness of Cow Manure Processing Technology through Virtual Reality-Based Educational Media Training in Kuripan Village, Demak.","A Buchori, D Prasetyowati, S Widodo, A Kusmantoro, SMB Pertiwi",KnE Social Sciences,18-Apr-25,TS-1,Prosiding tidak terindeks di seminar internasional / pertemuan himpunan profesi nasional*,Penelitian,V,KnE Social Sciences,,Tidak,Jurnal Internasional (Non-Scopus),,,,Unique,,,,,,,,,,,"Kinetik: Game Technology, Information System, Computer Network, Computing, Electronics, and Control"
INSPEKSI KETENAGALISTRIKAN PADA PEMBANGKIT LISTRIK TENAGA DIESEL (PLTD) KAPASITAS 250 KVA DI NASMOCO KALIGAWE,"M Faizal, A Kusmantoro","Proceeding Science and Engineering National Seminar 9 (1), 226-233",23/2/2025,TS-1,Prosiding di seminar nasional/wilayah,Penelitian,V,Science and Engineering National Seminar (SENS),,Tidak,Prosiding Nasional,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/6919/4886,,,,,,,,,,"Proceeding Science and Engineering National Seminar 9 (1), 226-233"
Optimalisasi Sistem Kelistrikan melalui Penggunaan Capacitor Bank,"R Maulidin, A Kusmantoro","Proceeding Science and Engineering National Seminar 9 (1), 100-106",5/2/2025,TS-1,Prosiding di seminar nasional/wilayah,Penelitian,V,Science and Engineering National Seminar (SENS),,Tidak,Prosiding Nasional,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/6815/4813,,,,,,,,,,"Proceeding Science and Engineering National Seminar 9 (1), 100-106"
OPTIMASI MODEL DEEP LEARNING UNTUK RASPBERRY MENGGUNAKAN PRUNING DAN KUANTISASI,"I Harjanto, M Amiruddin, BH Kunaryo","JURNAL TEKNOLOGI INFORMASI DAN KOMUNIKASI 15 (2), 360-370",01-Sep-24,TS-1,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,V,Jurnal Ilmiah Teknologi Informasi dan Komunikasi (JTIK),,Tidak,SINTA 5,,,,Unique,,,,,,,,,,,"JURNAL TEKNOLOGI INFORMASI DAN KOMUNIKASI 15 (2), 360-370"
Pemanfaatan Teknologi Digital dalam Pembelajaran Siswa SMP di Kota Semarang,"Maria Yosephin Widarti Lestari, Theresia Cicik Sophia Budiman, Jafar Sodiq, Sigit Ristanto",E-Dimas: Jurnal Pengabdian kepada Masyarakat,21 Juni 2025,TS-1,Jurnal nasional terakreditasi / majalah profesi nasional*,Pengabdian,,E-Dimas: Jurnal Pengabdian kepada Masyarakat,,Tidak,SINTA 3,,,,Unique,,,,,,,,,,,Pelita: Jurnal Pengabdian kepada Masyarakat
PEMANFAATAN TERMOKOPEL UNTUK SISTEM PEMANTAUAN SISTEM MOTOR POMPA,"A Khasan, M Amiruddin, I Harjanto","Science and Engineering National Seminar 5 (1), 831-836",25 Maret 2025,TS-1,Prosiding di seminar nasional/wilayah,Penelitian,V,Science and Engineering National Seminar (SENS),,Tidak,Prosiding Nasional,,,,Unique,,,,,,,,,,,"Science and Engineering National Seminar 5 (1), 831-836"
PENDAMPINGAN PEMBENAHAN INSTALASI JARINGAN INTERNET LPQ ANNUR TANGGUL MAS BARAT SEMARANG,"M Amiruddin, I Harjanto, M Margono, N Aksin, S Supriyadi","Community Development Journal: Jurnal Pengabdian Masyarakat 5 (6), 12121-12127",17 Desember 2024,TS-1,Jurnal nasional terakreditasi / majalah profesi nasional*,Pengabdian,V,Community Development Journal,,Tidak,SINTA 5,,,,Unique,,,,,,,,,,,"Community Development Journal: Jurnal Pengabdian Masyarakat 5 (6), 12121-12127"
Penerapan Algoritma Fuzzy Mamdani Terhadap Penentuan Modulus Young Kain Spandex,"K Anwar, M Amiruddin","Innovative: Journal Of Social Science Research 4 (5), 1730-1741",09-Sep-24,TS-1,Jurnal nasional tidak terakreditasi,Penelitian,V,Innovative: Journal Of Social Science Research,,Tidak,Belum Terakreditasi,,,,Unique,,,,,,,,,,,Proceeding Science and Engineering National Seminar
"Penerapan Media Terarium untuk Meningkatkan Kreativitas, Literasi Keuangan, dan Jiwa Kewirausahaan Siswa dalam Program Projek Penguatan Profil Pelajar Pancasila","Ipah Budi Minarti, Azizul Ghofar Candra Wicaksono, Muhammad Amiruddin, Atip Nurwahyunani",Pelita: Jurnal Pengabdian kepada Masyarakat,30 Juli 2025,TS-1,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,,Pelita: Jurnal Pengabdian kepada Masyarakat,,Tidak,SINTA 5,,,,Unique,,,,,,,,,,,KnE Social Sciences
Penerapan Teknik Diagnostik Kerusakan Pada Mesin Las dan Pemotong Plasma Di PT Laksana Bus Manufaktu,"Muhammad Caesar Abhista Raya Bima Saputra, Adhi Kusmantoro",Proceeding Science and Engineering National Seminar,24 Desember 2024,TS-1,Prosiding di seminar nasional/wilayah,Penelitian,V,Science and Engineering National Seminar (SENS),,Tidak,Prosiding Nasional,,,,Unique,,,,,,,,,,,KnE Social Sciences
Penerapan Teknik Diagnostik Kerusakan Pada Mesin Las dan Pemotong Plasma Di PT Laksana Bus Manufaktur,"MCARB Saputra, A Kusmantoro","Proceeding Science and Engineering National Seminar 9 (1), 78-86",24/12/2024,TS-1,Prosiding di seminar nasional/wilayah,Penelitian,V,Science and Engineering National Seminar (SENS),,Tidak,Prosiding Nasional,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/6678/4596,,,,,Jurnal nasional terakreditasi / majalah profesi nasional*,,,,,"Proceeding Science and Engineering National Seminar 9 (1), 78-86"
Pengaruh Penggunaan Cat Reflektif Terhadap Resistensi Panas Pada Atap Genteng sebagai Upaya Mendukung Green Building,"PA Damayanti, E Saptaningrum, S Supriyadi, BA Wibawa, S Ristanto",MEDIA KONSTRUKSI,16-Apr-25,TS-1,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,,MEDIA KONSTRUKSI,,Tidak,SINTA 4 / 5,,,,Unique,,,,,,,,,,,Jurnal Ilmiah Wahana Pendidikan
Penggunaan APD terhadap Kecelakaan Kerja pada Pekerjaan Bertegangan Listrik di PT PLN Persero Pemalang,Lemi Josie Zanuba Adhi Kusmantoro,Elektriese: Jurnal Sains dan Teknologi Elektro,1/10/2024,TS-1,Jurnal nasional terakreditasi,,,,,,,,,Ya,Unique,https://jurnal.itscience.org/index.php/elektriese/article/view/4819,,,,,,,,,,
Peran dan Manfaat Capacitor Bank dalam Meningkatkan Efisiensi Sistem Kelistrikan,"BR Nugroho, A Kusmantoro","Proceeding Science and Engineering National Seminar 9 (1), 130-135",18/2/2025,TS-1,Prosiding di seminar nasional/wilayah,Penelitian,V,Science and Engineering National Seminar (SENS),,Tidak,Prosiding Nasional,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/6903/4871,,,,,,,,,,"Proceeding Science and Engineering National Seminar 9 (1), 130-135"
PERANCANGAN SISTEM INSTALASI LISTRIK PRESIDENT ROOM RUMAH SAKIT MITRA BANGSA PATI,"Febrinawan Adhi Kusmantoro, Muhammad Amirudin",JETI,1/10/2024,TS-1,Jurnal nasional tidak terakreditasi,,,,,,,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/1470/717,,,,,,,,,,Journal of Physics: Conference Series
PERBANDINGAN KARAKTERISTIK LINEARITAS ANTARA SENSOR ULTRASONIK HC-SR04 DAN SRF05,"RMN Muslikhan, H Widiyanto, I Harjanto","Proceeding Science and Engineering National Seminar 9 (1), 407-413",7/2/2025,TS-1,Prosiding di seminar nasional/wilayah,Penelitian,V,Science and Engineering National Seminar (SENS),,Tidak,Prosiding Nasional,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/6865/4833,,,,,,,,,,"Proceeding Science and Engineering National Seminar 9 (1), 407-413"
PERENCANAAN SISTEM FIRE ALARM DAN HYDRAN PEMADAMAN KEBAKARAN PADA TOSERBA YOGYA PEKALONGAN,"M. Tova Maulana Irvan Adhi Kusmantoro, Margono",JETI,1/10/2024,TS-1,Jurnal nasional tidak terakreditasi,,,,,,,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/931/720,,,,,,,,,,IRA Jurnal Teknik Mesin dan Aplikasinya (IRAJTMA)
Performance Evaluation of Helium-Based Binary Gas Mixtures in Standing-Wave Thermoacoustic Electricity Generator,"I Setiawan, P Murti, I Farikhah, ABS Utomo",Results in Engineering,17 Juli 2025,TS-1,Jurnal internasional bereputasi / majalah profesi internasional*,Penelitian,V,Results in Engineering,,Ya,Prosiding Internasional terindeks Scopus / IEEE Xplore / Scopus,Ya,,,Unique,,,,,,,,,,,Proceeding Science and Engineering National Seminar
PID Controller-Based Simulations for Controlling Inverter Voltage to Enhance Power in a Microgrid,"Reza Maulidin, Bayu Rahmad Nugroho, Adhi Kusmantoro","Kinetik: Game Technology, Information System, Computer Network, Computing, Electronics, and Control",31/5/2025,TS-1,Jurnal nasional terakreditasi,Penelitian,V,"Kinetik: Game Technology, Information System, etc.",,Tidak,SINTA 2,,,Ya,Unique,https://kinetik.umm.ac.id/index.php/kinetik/article/view/2106,,,,,,,,,,"Jurnal Pengabdian Dan Peningkatan Mutu Masyarakat (Janayu) 4 (1), 36-43"
Power Flow Regulation of PLTS and Genset in Residential Using PLC Zelio,"A Kusmantoro, I Farikhah","Jambura Journal of Electrical and Electronics Engineering 7 (1), 82-88",9 Januari 2025,TS-1,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,V,Jambura Journal of Electrical and Electronics Engineering,,Tidak,SINTA 3,,,,Unique,,,,,,Jenis Publikasi,,,,,"Jambura Journal of Electrical and Electronics Engineering 7 (1), 82-88"
Power Regulation on PV and Grid With Monitoring Load Power in Residential,A Kusmantoro,"2024 11th International Conference on Electrical Engineering, Computer Science, and Informatics",26-Sep-24,TS-1,Prosiding terindeks Scopus / WoS di seminar internasional / pertemuan himpunan profesi internasional*,Penelitian,V,International Conference on Electrical and Info. Tech (IEIT),,Ya,Prosiding Internasional terindeks Scopus / IEEE Xplore / Scopus,Ya,,,Unique,,,,,,Jurnal internasional,,,,,"2024 11th International Conference on Electrical Engineering, Computer Science, and Informatics"
RANCANG BANGUN PANEL MDP GEDUNG PUNAI,"L Indriyani, A Kusmantoro","Proceeding Science and Engineering National Seminar 9 (1), 211-219",23/2/2025,TS-1,Prosiding di seminar nasional/wilayah,Penelitian,V,Science and Engineering National Seminar (SENS),,Tidak,Prosiding Nasional,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/6917/4884,,,,,,,,,,"Proceeding Science and Engineering National Seminar 9 (1), 211-219"
Rancangan Sistem PLTS Unuk Penerangan Rumah Tinggal Di Desa Sugihmanik,Nariswara Danang Prasetya Aji Nariiswara -,JETI,1/10/2024,TS-1,Jurnal nasional tidak terakreditasi,,,,,,,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/205/714,,,,,,,,,,IRA Jurnal Pengabdian Kepada Masyarakat (IRAJPKM)
SERTIFIKAT LAIK OPERASI PEMBANGKIT LISTRIK TENAGA DIESEL,"AN Romadhoni, BH Kunaryo, AK Rahmawan","Proceeding Science and Engineering National Seminar 9 (1), 333-337",6/2/2025,TS-1,Prosiding di seminar nasional/wilayah,Penelitian,V,Science and Engineering National Seminar (SENS),,Tidak,Prosiding Nasional,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/6828/4823,,,,,,,,,,"Proceeding Science and Engineering National Seminar 9 (1), 333-337"
Simulation of the effect of regenerator porosity on the performance of zero centrigade thermoacoustic cooler generated by the single-stage thermoacoustic machine for …,"I Farikhah, EP Aldiansyah, N Khoiri, S Ristanto, S Wibowo","Widya Teknik 23 (3), 114-118",Desember 2024,TS-1,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,V,Widya Teknik,,Tidak,SINTA 4,,,,Unique,,,,,,,,,,,"Sādhanā 50 (2), 1-15"
Simulation of the effect of regenerator porosity on the performance of zero centrigade thermoacoustic cooler generated by the single-stage thermoacoustic machine for sustainable refrigeration,"Irna Farikhah, Edo Putra Aldiansyah, Nur Khoiri, Sigit Ristanto, Setyoningsih Wibowo",Widya Teknik,5 Des 2024,TS-1,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,V,Widya Teknik,,Tidak,SINTA 4,,,,Unique,,,,,,,,,,,"Innovative: Journal Of Social Science Research 4 (5), 1730-1741"
SISTEM MONITORING CUACA BERBASIS IOT MENGGUNAKAN ESP32 DAN WHATSAPP UNTUK EFEKTIVITAS PENJEMURAN KERUPUK,"Fahrel May Inzagi Muhammad Amirudin, Ganjar Winasis",JETI,1/4/2025,TS-1,Jurnal nasional tidak terakreditasi,Penelitian,V,JETI (Jurnal Elektro dan Teknologi Informasi) UPGRIS,,,,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/2533/888,,,,,,,,,,
Sosialisasi Penerapan Panel Surya Sebagai Sumber Listrik di SD Labschool Unnes Semarang,"A Kusmantoro, N Rustanti",Jurnal Pengabdian kepada Masyarakat Nusantara,31 Mei 2025,TS-1,Jurnal nasional terakreditasi / majalah profesi nasional*,Pengabdian,V,Jurnal Pengabdian kepada Masyarakat Nusantara,,Tidak,SINTA 5,,,,Unique,,,,,,,,,,,"Kinetik: Game Technology, Information System, Computer Network, Computing, Electronics, and Control"
STUDI ANALISA PENGGUNAAN BATERAI LI-ION DAN LI-PO PADA SISTEM IOT HIDROPONIK,"KZ Rifal, A Kusmantoro","JETI (Jurnal Elektro dan Teknologi Informasi) 1 (1), 1-5",25/5/2025,TS-1,Jurnal nasional tidak terakreditasi,Penelitian,V,JETI (Jurnal Elektro dan Teknologi Informasi) UPGRIS,,Tidak,Belum Terakreditasi,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/578/230,,,,,Prosiding di seminar nasional/wilayah,,,,,"JETI (Jurnal Elektro dan Teknologi Informasi) 1 (1), 1-5"
STUDI PERBANDINGAN SENSOR SHT40 DAN CHT8305 DALAM PENGUKURAN SUHU DAN KELEMBAPAN BERBASIS ESP8266,"KRN Putri, A Kusmantoro, DD Septina","Proceeding Science and Engineering National Seminar 9 (1), 72-77",24 Desember 2024,TS-1,Prosiding di seminar nasional/wilayah,Penelitian,V,Science and Engineering National Seminar (SENS),,Tidak,Prosiding Nasional,,,,Unique,,,,,,Jurnal nasional tidak terakreditasi,,,,,"Proceeding Science and Engineering National Seminar 9 (1), 72-77"
The Effectiveness of the Dilemma-STEAM Learning Model Based on Motion Graphic Videos in the Subject of Parabolic Motion,"H Nasbey, NP Apriliani, AF Kurniawan, A Samsudin, A Fadlan",Journal of Physics: Conference Series,1 Oktober 2024,TS-1,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,,Lontar Physics Today,,Tidak,SINTA 4,,,,Unique,,,,,,,,,,,"PaKMas: Jurnal Pengabdian Kepada Masyarakat 4 (1), 109-115"
Thickness optimization of a triple-layered microwave absorber combining magnetic and dielectric particles,"Affandi Faisal Kurniawan, Mohammad Syaiful Anwar, Khoirotun Nadiyyah, I Gusti Ngurah Nitya",Asia-Pacific Journal of Science and Technology,1 Maret 2025,TS-1,Prosiding terindeks Scopus / WoS di seminar internasional / pertemuan himpunan profesi internasional*,Penelitian,V,Asia-Pacific Journal of Science and Technology,,Ya,Prosiding Internasional terindeks Scopus / IEEE Xplore / Scopus,Ya,,,Unique,,,,,,,,,,,JURNAL TEKNOLOGI INFORMASI DAN KOMUNIKASI
Implementation of Video Tracker Application for Measurement of Elastic Pendulum Oscillatory Motion,"S Ristanto, HA Prakosa, N Khoiri, AF Kurniawan, J Saefan",JPF (Jurnal Pendidikan Fisika) Universitas Islam Negeri Alauddin Makassar Vol 12,Sep-24,TS--1,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,V,JPF (Jurnal Pendidikan Fisika) UIN Alauddin Makassar,,Tidak,SINTA 4,,,,Unique,,,,,,,,,,,"Thermal Science, 50-50"
Analisa Peralatan Lightning Arrester Pada Gardu Induk 150 Kv PLTU Rembang,SANDY RYAN HANDOKO,JETI,23/4/2026,TS,Jurnal nasional tidak terakreditasi,,,,,,,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/107,,,,,,,,,,
ANALISIS AKURASI PENGUKURAN JARAK GEOGRAFIS MENGGUNAKAN MODUL GPS GY-NEO6MV2 BERBASIS ESP32,M.A.Musthofa Ganjar Winasis,SENS,1/12/2025,TS,Prosiding di seminar nasional/wilayah,,,,,,,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/7905/5725,,,,,,,,,,
ANALISIS ENERGI LISTRIK GEDUNG BOTTOM 1 PT. PARKLAND WORLD INDONESIA JEPARA,"Anita Kurnia Zulyani  Bambang Hadi Kunaryo, Margono",SENS,1/12/2025,TS,Prosiding di seminar nasional/wilayah,,,,,,,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/7928/5762,,,,,,,,,,
Analisis Pengujian dan Pengukuran Tahanan Isolasi Transformator dan Kabel Outgoing IPTL-TM 690kVA di Semarang Sport Center,"Muhammad Cahya Rofiq  Afeef Kurnia Rahmawan, Margono",SENS,1/12/2025,TS,Prosiding di seminar nasional/wilayah,,,,,,,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/7915/5734,,,,,,,,,,
ANALISIS PERAN SISTEM PEMBUMIAN TERHADAP KESELAMATAN DAN KEANDALAN OPERASI PEMBANGKIT LISTRIK TENAGA DIESEL (PLTD),"Sofiyullah Bagus Satrio Afeef Kurnia Rahmawan, Affandi Faisal Kurniawan",SENS,1/12/2025,TS,Prosiding di seminar nasional/wilayah,,,,,,,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/7914/5733,,,,,,,,,,
ANALISIS SISTEM PEMBUMIAN INSTALASI PEMANFAATAN TENAGA LISTRIK TEGANGAN MENENGAH (IPTL-TM) PT. TOP AND TOP APPAREL BERDASARKAN PENGUJIAN TAHANAN PEMBUMIAN,"Rizqi Mukhammad Nur Muslikhan Afeef Kurnia Rahmawan, Muhammad Amirrudin",SENS,1/12/2025,TS,Prosiding di seminar nasional/wilayah,,,,,,,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/7939/5761,,,,,,,,,,
"DESAIN MODEL FUZZY LOGIC UNTUK PENILAIAN KUALITAS AIR SUMUR BERDASARKAN PARAMETER SALINITAS, PH, DAN KEKERUHAN DI SEMARANG","Aan Burhanuddin1
 , Agus Mukhtar1
 , Rifki Hermana1
 , Muhammad Amirudin2
 , Muchamad Malik1*, Althesa",IRA Jurnal Teknik Mesin dan Aplikasinya (IRAJTMA),28 Desember 2025,TS,Jurnal nasional tidak terakreditasi,Penelitian,,IRA Jurnal Teknik Mesin dan Aplikasinya (IRAJTMA),,Tidak,Belum Terakreditasi,,,,Unique,,,,,,,,,,,Thermal Science
Implementasi dan Analisis Pemasangan PLTS ON-GRID 50 Kw di Mavica Maju Bersama,"Eka Bima Satria Muhammad Amirudin, Imadudin Harjanto",SENS,1/12/2025,TS,Prosiding di seminar nasional/wilayah,,,,,,,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/7933/5753,,,,,,,,,,
IMPLEMENTASI LOGIKA FUZZY PADA SISTEM PENGEREMAN OTOMATIS (AUTOMATIC BRAKING SYSTEM) ROBOT MOBIL BERDASARKAN JARAK OBJEK,"Tazkiya Nafsil Muna, Adit Lusandi Imadudin Harjanto",SENS,1/12/2025,TS,Prosiding di seminar nasional/wilayah,,,,,,,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/7912/5763,,,,,,,,,,
Internet of Things design to monitor street lights equipped with passive infrared motion sensors,"Ahmad Habib Maulana Adhi Kusmatoro, Bambang Hadi Kunaryo",JETI,24/4/2026,TS,Jurnal nasional tidak terakreditasi,,,,,,,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/525/232,,,,,,,,,,Jurnal Elektronika dan Telekomunikasi
KOMPARASI NILAI IMPEDANSI TERHADAP PENGARUH FUNGSI PADA PRODUK ANTENNA KEYLESS 4L45W,"Muhammad Ghifari Adhi Kusmantoro, Bambang Hadi Kunaryo",JETI,25/4/2026,TS,Jurnal nasional tidak terakreditasi,,,,,,,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/1571/878,,,,,,,,,,COMMUNITY EMPOWERMENT
PERANCANGAN DAN IMPLEMENTASI SISTEM KONTROL POMPA AIR DC 12V OTOMATIS DENGAN LOGIKA FUZZY BERBASIS ESP32,"Anggit Yuga Kusuma Imadudin Harjanto, Sigit Ristanto",SENS,1/12/2025,TS,Prosiding di seminar nasional/wilayah,,,,,,,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/7913/5732,,,,,,,,,,
Perancangan Pembangkit Listrik Tenaga Surya Untuk Penerangan di Mushola RT01/RW01 Kelurahan Bandung Kecamatan Tegal Selatan Kota Tegal,"fandi safarian Adhi Kusmantoro, Muhammad Amiruddin",JETI,25/4/2026,TS,Jurnal nasional tidak terakreditasi,,,,,,,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/2089/876,,,,,,,,,,COMMUNITY EMPOWERMENT
Perencanaan Dan Penerapan Maintenance Pada Mesin Las Mig (Metal Inert Gas) Dan Tig (Tungsten Inert Gas) Di Laksana Karoseri,Zydan Irgi Fahrezy,SENS,24/1/2026,TS,Prosiding di seminar nasional/wilayah,,,,,,,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/4993/3792,,,,,,,,,,
PERENCANAAN INSTALASI PEMASANGAN CCTV GEDUNG MESS GETS HOTEL DENGAN MANAJEMEN IP ADDRESS BERBASIS ZONASI LANTAI,"Hidayat Widiyanto Ganjar Winasis, Irna Farikhah",SENS,1/12/2025,TS,Prosiding di seminar nasional/wilayah,,,,,,,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/7919/5738,,,,,,,,,,
RANCANG BANGUN MESIN PEMBUAT MINUMAN PROBIOTIK DARI LIMBAH SUSU,Wahyu Teguh Laksono Bambang Hadi Kunaryo,SENS,1/12/2025,TS,Prosiding di seminar nasional/wilayah,,,,,,,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/7943,,,,,,,,,,
